ticker,sector,market_cap,bucket,effective_bucket,distress_type,verdict,status,api_distress,api_fraud,api_high_short,api_recent_raise,short_dtc,effective_reason,note,logic_version,last_processed_utc
LUCD,Health Care,184514224.0,AVOID,WATCH,cash_burn,OVERFLAG_recent_raise,done,0,0,0,1,7.64,downgraded from AVOID — recent capital raise extends runway / no event found,recent capital raise extends runway | RAISE:Lucid Diagnostics Announces Proposed Public Offering of Common Stock,v1-2026-06-09,2026-06-09T16:04:40Z
INTT,Health Care,184323520.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,1.0,,,v1-2026-06-09,2026-06-09T16:04:40Z
EBMT,Financials,183204912.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,3.12,,,v1-2026-06-09,2026-06-09T16:04:40Z
JRVR,Financials,183097952.0,WATCH,WATCH,,AGREE,done,0,0,0,0,1.61,,,v1-2026-06-09,2026-06-09T16:04:40Z
TRAK,Information Technology,182826064.0,CLEAR,CLEAR,,AGREE,done,0,0,1,0,10.1,,,v1-2026-06-09,2026-06-09T16:04:40Z
HQI,Information Technology,182338928.0,CLEAR,CLEAR,,AGREE,done,0,0,1,0,12.23,,,v1-2026-06-09,2026-06-09T16:04:40Z
MDWD,Unknown,182244976.0,AVOID,AVOID,cash_burn,CORROBORATED,done,0,0,1,1,21.41,API event/short-interest confirms the fundamentals AVOID,API distress/short-interest confirms | RAISE:MediWound Announces $25 Million Strategic Private Placement Financing - GlobeNewswire,v1-2026-06-09,2026-06-09T16:04:40Z
RBKB,Financials,181827200.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,5.26,,,v1-2026-06-09,2026-06-09T16:04:40Z
ALEC,Health Care,181526176.0,AVOID,WATCH,cash_burn,OVERFLAG_recent_raise,done,0,0,0,1,9.19,downgraded from AVOID — recent capital raise extends runway / no event found,recent capital raise extends runway | RAISE:Alector Announces Closing of Public Offering,v1-2026-06-09,2026-06-09T16:04:40Z
XYF,Unknown,181411168.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,1.59,,,v1-2026-06-09,2026-06-09T16:04:40Z
KRMD,Health Care,180516688.0,DISTRESSED-RECOVERABLE,DISTRESSED-RECOVERABLE,,AGREE,done,0,0,0,0,3.79,,,v1-2026-06-09,2026-06-09T16:04:40Z
AMPY,Energy,180426096.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,3.68,,,v1-2026-06-09,2026-06-09T16:04:40Z
ELME,Financials,180381488.0,DISTRESSED-RECOVERABLE,DISTRESSED-RECOVERABLE,,AGREE,done,0,0,0,0,2.07,,,v1-2026-06-09,2026-06-09T16:04:40Z
BWIV,Financials,180162848.0,SKIP_no_data,,,SKIP,skip,,,,,,,no cached fundamentals/context,v1-2026-06-09,2026-06-09T16:04:40Z
NKTX,Health Care,179578848.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
PLG,Unknown,178824480.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
PED,Energy,177706736.0,DISTRESSED-RECOVERABLE,DISTRESSED-RECOVERABLE,,AGREE,done,0,0,0,0,1.0,,,v1-2026-06-09,2026-06-09T16:04:40Z
PAL,Industrials,177450768.0,DISTRESSED-RECOVERABLE,DISTRESSED-RECOVERABLE,,AGREE,done,0,0,0,0,1.99,,,v1-2026-06-09,2026-06-09T16:04:40Z
COOK,Information Technology,177312384.0,DISTRESSED-RECOVERABLE,DISTRESSED-RECOVERABLE,,AGREE,done,0,0,0,0,6.11,,,v1-2026-06-09,2026-06-09T16:04:40Z
NRXP,Health Care,177193728.0,AVOID,AVOID,insolvency,AVOID_unconfirmed,done,0,0,0,1,4.16,,"no API distress/short signal (coverage may be thin) | RAISE:NRx Pharmaceuticals, Inc. Announces Pricing of Public Offering of Common Stock",v1-2026-06-09,2026-06-09T16:04:40Z
NLOP,Financials,176731920.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,3.82,,,v1-2026-06-09,2026-06-09T16:04:40Z
