ticker,sector,market_cap,bucket,bankruptcy,distress_type,fraud,fraud_watchlist,recoverable,news_bk_event,news_fraud_event,bankruptcy_severity,fraud_severity,recovery_score,earnings_quality_flag,altman_z2,altman_zone,altman_z_orig,beneish_m,ohlson_p,accrual_ratio,montier_c,nd_ebitda,current_ratio,neg_equity,fcf_neg,cfo_neg,cash_runway_months,reasons,fraud_reasons,fin_sector_caveat,float_distortion,headline
ADNT,Industrials,1730583424.0,DISTRESSED-RECOVERABLE,0,,0,0,1,0,0,28,0,4,0,0.2562462234219685,distress,1.6708697173937341,-2.898795321712931,0.5000058799731348,-0.06992624965856323,2,1.8835078534031413,1.120965554651478,0,0,0,,,,0,0,Distressed but recoverable — solvent with a turnaround vector
ADP,Industrials,92718366720.0,CLEAR,0,,0,0,0,0,0,10,0,6,0,-1.2051034252670627,distress,1.9087768006736847,-2.548581172674041,0.5543297758811305,-0.015965544128021387,0,4.521163650624685,0.2971658232049285,0,0,0,,,,0,1,Clear — no material distress or manipulation signal
ADPT,Health Care,2704750080.0,WATCH,0,,0,0,0,0,0,64,0,6,0,-5.905447147511949,distress,2.582258437227746,-2.419902857785379,0.3952428167475363,-0.0256075398816856,1,,3.3385419562920537,0,1,1,59.230200495803075,,,0,0,Watch — stress signals but neither terminal nor clearly recovering
ADSE,Information Technology,852023232.0,AVOID,1,insolvency,0,0,0,0,0,100,15,2,0,-18.159162715901395,distress,-3.007712842647563,-4.849200371920746,0.9890450803037114,-0.16621561874886118,2,,0.7772250637327978,1,1,1,2.2669730972015687,operating_cash_flow_negative; insolvent_from_accumulated_losses; cash_runway_under_18mo; ohlson_high_default_prob; altman_deep_distress; sustained_losses_2y,,0,0,AVOID — bankruptcy / insolvency — over-levered / loss-eroded operating business
ADSK,Information Technology,48554962944.0,CLEAR,0,,0,0,0,0,0,28,0,6,0,0.35978315472014033,distress,3.8435523751177643,-2.683759327675943,0.24869884213744897,-0.11399141630901287,3,-0.04514851485148515,0.8508953168044077,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
ADT,Industrials,5164143616.0,CLEAR,0,,0,0,0,0,0,28,0,7,0,0.2469827060322955,distress,0.5901059519144304,-2.848681926338151,0.2700722942629934,-0.08084301877897679,1,2.843211198239252,0.9060968578841164,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
ADTN,Information Technology,1243320832.0,DISTRESSED-RECOVERABLE,0,,0,0,1,0,0,46,0,4,0,-0.3505666734146039,distress,1.3694251741134662,-3.080310061322189,0.1837449281071135,-0.13974423295138877,1,1.1327875243664718,1.7554413309014536,0,0,0,,,,0,0,Distressed but recoverable — solvent with a turnaround vector
ADTX,Health Care,50668.0,AVOID,1,cash_burn,0,0,0,0,0,100,0,2,0,-52.37872405340958,distress,-22.301600638003805,-39.88152724084628,0.9999983468119101,-0.7027650033329449,3,,0.3127393323493336,0,1,1,1.494186063033454,operating_cash_flow_negative; cash_runway_under_18mo; ohlson_high_default_prob; altman_deep_distress; sustained_losses_2y,,0,0,"AVOID — bankruptcy / cash-burn — pre-profit, dependent on raising more capital"
ADUS,Health Care,1719025792.0,CLEAR,0,,0,0,0,0,0,0,0,7,0,5.5044819503672295,safe,4.798358763461944,-2.234362080248122,0.02445520527175405,-0.01094548590813427,1,0.2537751488450399,1.8027721474108116,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
ADV,Industrials,515192096.0,DISTRESSED-RECOVERABLE,0,,0,0,1,0,0,46,0,5,0,-2.2388780542397284,distress,0.003632050511513052,-3.0009421980777233,0.5946607112682873,-0.09805774032649868,2,6.564802301557124,2.22007054461739,0,0,0,,,,0,0,Distressed but recoverable — solvent with a turnaround vector
AEE,Utilities,30240647168.0,CLEAR,0,,0,0,0,0,0,10,0,5,0,0.8624740737169883,distress,0.9584068175294136,-2.424989328043508,0.18085825134917743,-0.04065582224896319,2,5.426637791012452,0.6580496544663424,0,1,0,,,,0,0,Clear — no material distress or manipulation signal
AEHR,Health Care,3096572672.0,WATCH,0,,0,1,0,0,0,0,51.57059973351846,5,1,7.2218880096804074,safe,164.5241550608102,-0.3171760106592617,0.015692534817126007,0.18911099734501685,3,-3.883557419514,5.448247684764845,0,0,0,,,,0,0,"Watch — forensic earnings-quality flag (high accruals, but cash-backed / one-time — investigate, not a fraud call)"
AEI,Real Estate,52898332.0,WATCH,0,,0,0,0,0,0,18,100,3,1,13.63476486859349,safe,1.5234000272557198,5.60943534107758,0.43461251962007375,-0.372172300426917,3,,7.526853022459811,0,1,1,80.7114468551161,,,1,0,Watch — stress signals but neither terminal nor clearly recovering
AEIS,Information Technology,11795540992.0,CLEAR,0,,0,0,0,0,0,0,0,3,0,4.607789213654856,safe,7.841885818068986,-2.4313780169467845,0.06000157984875861,-0.03531834349065042,2,-0.8701030927835052,1.5878732849071833,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
AEM,Materials,81835933696.0,CLEAR,0,,0,0,0,0,0,0,0,7,0,4.898353885321801,safe,6.306838651853976,-3.10092533746597,0.0032143475325596455,-0.07309071666773015,1,-0.3353264908583414,2.020034738205473,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
AENT,Industrials,283928704.0,CLEAR,0,,0,0,0,0,0,0,0,7,0,2.2988205608740335,grey,4.242376429638735,-2.6530355578287437,0.4757231359809092,-0.03341974816249786,3,1.9431997297905876,1.2628568451157594,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
AEO,Consumer Discretionary,2754905600.0,CLEAR,0,,0,0,0,0,0,0,0,3,0,3.95135155901223,safe,3.3076132213259832,-2.722022663511635,0.16169616084580127,-0.06904191147069909,3,-0.43440150544085965,1.5147868223979124,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
AEP,Utilities,70265724928.0,CLEAR,0,,0,0,0,0,0,10,0,5,0,0.7433153130299222,distress,0.9693243185827312,-2.4965200385703255,0.14713448915615673,-0.029861449493881528,1,5.516903313049358,0.4492263782484603,0,1,0,,,,0,0,Clear — no material distress or manipulation signal
AER,Information Technology,21593399296.0,DISTRESSED-RECOVERABLE,0,,0,0,1,0,0,0,0,7,0,1.2546222006189356,grey,0.8343177173160181,-2.8751363489655395,0.16580018357614867,-0.022953906474657372,0,5.266965303257841,0.4889322095093212,0,1,0,,,,0,0,Distressed but recoverable — solvent with a turnaround vector
